MonthlyCharges,Contract,PaymentMethod,Partner,MultipleLines
75.8,Month-to-month,Electronic check,No,No
112.95,Two year,Bank transfer (automatic),No,Yes
94.4,Month-to-month,Electronic check,Yes,Yes
90.05,Month-to-month,Electronic check,No,Yes
72.9,Month-to-month,Mailed check,No,No
74.65,Month-to-month,Mailed check,No,No
57.45,Month-to-month,Electronic check,Yes,No
84.95,Month-to-month,Electronic check,No,No
83.75,Month-to-month,Electronic check,Yes,Yes
70.0,Month-to-month,Bank transfer (automatic),No,No
111.1,Month-to-month,Electronic check,No,Yes
107.5,One year,Electronic check,Yes,Yes
66.5,One year,Bank transfer (automatic),Yes,No
55.35,Month-to-month,Electronic check,No,No
88.35,Month-to-month,Electronic check,No,Yes
25.15,Month-to-month,Electronic check,No,No phone service
79.4,Month-to-month,Electronic check,No,No
99.05,Month-to-month,Electronic check,No,Yes
104.05,One year,Bank transfer (automatic),No,No
69.6,Month-to-month,Electronic check,No,No
55.9,Month-to-month,Electronic check,Yes,No phone service
96.1,Month-to-month,Electronic check,No,No
55.0,Month-to-month,Credit card (automatic),No,Yes
80.05,Month-to-month,Bank transfer (automatic),No,Yes
25.3,Month-to-month,Electronic check,No,No phone service
106.15,Month-to-month,Bank transfer (automatic),Yes,Yes
94.4,Month-to-month,Electronic check,Yes,Yes
40.3,Month-to-month,Electronic check,No,No phone service
102.95,Month-to-month,Electronic check,Yes,Yes
81.0,Month-to-month,Electronic check,No,No
84.3,Month-to-month,Electronic check,Yes,No
69.6,Month-to-month,Electronic check,No,No
105.9,Month-to-month,Electronic check,No,Yes
35.1,Month-to-month,Electronic check,No,No phone service
83.2,Month-to-month,Electronic check,No,No
20.0,Month-to-month,Electronic check,Yes,No
75.2,Month-to-month,Electronic check,No,No
114.2,Two year,Bank transfer (automatic),Yes,Yes
24.45,Month-to-month,Electronic check,No,No phone service
88.45,Month-to-month,Electronic check,No,No
107.35,Month-to-month,Bank transfer (automatic),Yes,Yes
45.75,Month-to-month,Electronic check,No,No
98.75,Month-to-month,Electronic check,Yes,Yes
70.05,Month-to-month,Electronic check,No,No
109.65,Two year,Electronic check,No,Yes
74.95,Month-to-month,Electronic check,No,Yes
44.2,Month-to-month,Bank transfer (automatic),No,No
94.25,Month-to-month,Electronic check,Yes,Yes
85.55,Month-to-month,Electronic check,No,Yes
74.4,Month-to-month,Bank transfer (automatic),No,Yes
85.3,Month-to-month,Electronic check,No,Yes
69.55,Month-to-month,Electronic check,No,No
86.5,Month-to-month,Electronic check,Yes,Yes
19.35,Two year,Mailed check,No,No
95.6,Month-to-month,Electronic check,Yes,Yes
105.95,One year,Credit card (automatic),Yes,Yes
94.85,Month-to-month,Mailed check,Yes,No
70.15,One year,Credit card (automatic),No,No
39.5,Month-to-month,Electronic check,No,No phone service
70.1,Month-to-month,Electronic check,Yes,No
100.0,Month-to-month,Electronic check,Yes,Yes
116.2,Two year,Credit card (automatic),No,Yes
90.8,Month-to-month,Electronic check,Yes,No
98.25,Month-to-month,Electronic check,No,Yes
103.85,Month-to-month,Electronic check,Yes,Yes
77.0,Month-to-month,Electronic check,No,Yes
93.35,Month-to-month,Electronic check,No,Yes
19.6,Month-to-month,Mailed check,No,No
99.0,Month-to-month,Credit card (automatic),No,No
80.3,Month-to-month,Electronic check,Yes,No
100.6,One year,Bank transfer (automatic),No,Yes
31.05,Month-to-month,Electronic check,No,No phone service
99.5,Month-to-month,Electronic check,Yes,Yes
62.7,One year,Credit card (automatic),No,No
87.1,Month-to-month,Mailed check,No,Yes
94.3,Month-to-month,Electronic check,No,Yes
98.15,Month-to-month,Mailed check,No,Yes
101.95,Month-to-month,Electronic check,Yes,Yes
93.85,Month-to-month,Electronic check,No,No
104.15,Two year,Bank transfer (automatic),Yes,Yes
70.45,Month-to-month,Electronic check,Yes,No
53.75,Month-to-month,Electronic check,No,Yes
75.55,Month-to-month,Credit card (automatic),No,No
70.75,Month-to-month,Electronic check,No,No
84.95,Month-to-month,Electronic check,Yes,Yes
73.95,Month-to-month,Credit card (automatic),No,No
85.05,Month-to-month,Electronic check,No,Yes
69.85,Month-to-month,Electronic check,No,No
99.7,Month-to-month,Electronic check,No,Yes
76.25,Month-to-month,Electronic check,No,Yes
85.45,Month-to-month,Mailed check,No,Yes
89.1,Month-to-month,Electronic check,Yes,Yes
94.8,One year,Electronic check,No,Yes
99.85,Month-to-month,Bank transfer (automatic),No,Yes
100.25,Month-to-month,Credit card (automatic),No,Yes
19.75,Month-to-month,Electronic check,No,No
69.95,Month-to-month,Electronic check,No,No
70.7,Month-to-month,Electronic check,Yes,No
21.0,Month-to-month,Electronic check,Yes,No
89.55,Month-to-month,Electronic check,No,No
79.55,Month-to-month,Electronic check,No,No
97.35,Month-to-month,Electronic check,No,Yes
50.8,Month-to-month,Electronic check,No,No
69.25,Month-to-month,Electronic check,Yes,No
98.9,Month-to-month,Bank transfer (automatic),No,No
75.35,Month-to-month,Electronic check,No,Yes
77.95,Month-to-month,Credit card (automatic),Yes,No
20.5,Month-to-month,Mailed check,No,No
80.6,Month-to-month,Electronic check,No,No
86.0,Month-to-month,Electronic check,No,Yes
62.65,Month-to-month,Electronic check,Yes,Yes
104.4,Month-to-month,Electronic check,Yes,Yes
95.1,Month-to-month,Credit card (automatic),No,No
74.45,Month-to-month,Mailed check,No,Yes
99.55,Month-to-month,Electronic check,Yes,Yes
41.6,One year,Electronic check,No,No phone service
55.8,Month-to-month,Electronic check,No,No phone service
47.95,Month-to-month,Electronic check,No,No phone service
74.95,Month-to-month,Electronic check,No,No
99.5,Month-to-month,Electronic check,No,No
80.2,Month-to-month,Electronic check,No,No
63.6,Month-to-month,Electronic check,No,Yes
99.7,Month-to-month,Bank transfer (automatic),No,Yes
49.75,One year,Electronic check,Yes,No
92.5,Month-to-month,Mailed check,Yes,No
25.15,Two year,Credit card (automatic),Yes,Yes
100.85,Month-to-month,Electronic check,No,Yes
65.0,Month-to-month,Mailed check,Yes,No
20.35,Month-to-month,Mailed check,Yes,No
84.9,Month-to-month,Electronic check,No,Yes
19.75,One year,Mailed check,Yes,No
44.6,Month-to-month,Credit card (automatic),Yes,No
84.5,Month-to-month,Electronic check,Yes,Yes
108.55,One year,Electronic check,Yes,Yes
45.1,Month-to-month,Mailed check,No,No
105.0,Month-to-month,Credit card (automatic),Yes,Yes
85.65,Month-to-month,Electronic check,No,Yes
74.8,Month-to-month,Bank transfer (automatic),No,No
101.75,Month-to-month,Electronic check,No,Yes
19.0,Month-to-month,Mailed check,Yes,No
78.5,Month-to-month,Electronic check,No,No
95.5,Two year,Mailed check,No,No
89.1,Month-to-month,Electronic check,No,No
84.6,Month-to-month,Electronic check,No,Yes
105.1,Month-to-month,Electronic check,No,No
25.7,Month-to-month,Mailed check,No,No phone service
19.45,Month-to-month,Mailed check,No,No
69.0,Month-to-month,Bank transfer (automatic),No,No
70.0,Month-to-month,Electronic check,No,No
102.95,Month-to-month,Credit card (automatic),No,Yes
89.6,Month-to-month,Bank transfer (automatic),Yes,Yes
23.9,Month-to-month,Electronic check,No,No phone service
85.75,Month-to-month,Electronic check,Yes,No
45.35,Month-to-month,Electronic check,No,No
81.15,Month-to-month,Electronic check,No,No
91.7,Month-to-month,Credit card (automatic),No,Yes
108.15,Month-to-month,Credit card (automatic),No,Yes
106.0,One year,Electronic check,Yes,Yes
54.15,Month-to-month,Credit card (automatic),No,No phone service
94.0,Month-to-month,Electronic check,No,Yes
95.65,Month-to-month,Bank transfer (automatic),No,Yes
85.35,Month-to-month,Credit card (automatic),Yes,Yes
68.65,Month-to-month,Electronic check,No,No
95.25,One year,Credit card (automatic),No,No
70.4,Month-to-month,Bank transfer (automatic),Yes,No
49.4,Month-to-month,Electronic check,No,No
92.1,Month-to-month,Electronic check,No,No
24.45,Month-to-month,Electronic check,Yes,No phone service
101.9,Month-to-month,Bank transfer (automatic),No,Yes
49.4,Month-to-month,Electronic check,No,Yes
51.0,Month-to-month,Mailed check,No,No phone service
81.35,Month-to-month,Electronic check,No,Yes
79.6,Month-to-month,Mailed check,Yes,Yes
80.45,Month-to-month,Credit card (automatic),No,Yes
35.9,Month-to-month,Electronic check,No,No phone service
70.7,Month-to-month,Credit card (automatic),No,No
75.15,Month-to-month,Bank transfer (automatic),Yes,No
106.3,Month-to-month,Electronic check,No,Yes
45.7,Month-to-month,Mailed check,No,No
106.6,Month-to-month,Electronic check,No,No
43.3,Month-to-month,Electronic check,No,No
50.15,Month-to-month,Mailed check,No,No
98.7,Month-to-month,Electronic check,No,No
100.0,One year,Electronic check,No,Yes
70.25,Month-to-month,Electronic check,No,No
45.3,Month-to-month,Electronic check,No,No
31.35,Month-to-month,Mailed check,No,No phone service
80.0,Month-to-month,Electronic check,Yes,No
80.95,Month-to-month,Electronic check,No,No
74.6,Month-to-month,Bank transfer (automatic),Yes,Yes
55.3,Month-to-month,Mailed check,Yes,No
89.55,One year,Electronic check,Yes,Yes
101.35,Month-to-month,Electronic check,No,No
70.25,Month-to-month,Bank transfer (automatic),No,No
59.45,Month-to-month,Electronic check,No,No
49.15,Month-to-month,Electronic check,No,No
69.65,Month-to-month,Electronic check,No,No
64.65,Month-to-month,Bank transfer (automatic),No,Yes
100.55,Month-to-month,Electronic check,Yes,Yes
106.35,Month-to-month,Electronic check,No,Yes
74.75,Month-to-month,Electronic check,No,Yes
74.9,Month-to-month,Electronic check,No,Yes
84.8,Month-to-month,Bank transfer (automatic),Yes,Yes
76.4,Month-to-month,Electronic check,No,No
45.25,One year,Electronic check,No,No phone service
100.95,One year,Electronic check,Yes,Yes
105.3,Month-to-month,Electronic check,Yes,Yes
49.05,Month-to-month,Bank transfer (automatic),No,No phone service
19.85,Month-to-month,Electronic check,No,No
70.15,Month-to-month,Mailed check,No,No
99.0,Month-to-month,Mailed check,No,Yes
105.95,One year,Mailed check,Yes,No
83.75,Month-to-month,Electronic check,No,No
44.85,Month-to-month,Credit card (automatic),No,No
93.55,Month-to-month,Electronic check,No,Yes
28.6,Month-to-month,Credit card (automatic),No,No phone service
75.25,Month-to-month,Electronic check,No,Yes
45.35,Month-to-month,Electronic check,No,No
45.4,Month-to-month,Bank transfer (automatic),No,No
55.0,Month-to-month,Electronic check,No,No
105.65,Month-to-month,Electronic check,Yes,Yes
96.2,Month-to-month,Credit card (automatic),Yes,Yes
98.7,Month-to-month,Electronic check,Yes,Yes
48.55,Month-to-month,Electronic check,Yes,No phone service
100.75,Month-to-month,Electronic check,No,Yes
100.6,Month-to-month,Electronic check,No,Yes
113.15,Two year,Electronic check,Yes,Yes
103.7,One year,Mailed check,Yes,Yes
70.15,Month-to-month,Mailed check,No,No
95.6,Month-to-month,Credit card (automatic),No,Yes
90.0,Month-to-month,Credit card (automatic),No,Yes
69.6,Month-to-month,Electronic check,No,No
90.4,One year,Electronic check,Yes,No
70.65,Month-to-month,Electronic check,No,No
84.3,Month-to-month,Electronic check,No,No
44.05,Month-to-month,Electronic check,Yes,No
80.3,Month-to-month,Mailed check,No,No
74.1,Month-to-month,Credit card (automatic),Yes,Yes
105.65,One year,Electronic check,No,No
79.25,Month-to-month,Electronic check,No,No
86.1,Month-to-month,Electronic check,Yes,Yes
96.1,Month-to-month,Electronic check,Yes,Yes
71.0,Month-to-month,Electronic check,No,No
79.0,Month-to-month,Electronic check,No,No
75.75,Month-to-month,Electronic check,No,Yes
74.8,Two year,Bank transfer (automatic),Yes,No
45.1,Month-to-month,Bank transfer (automatic),No,No
104.3,Month-to-month,Bank transfer (automatic),Yes,Yes
94.75,Month-to-month,Electronic check,No,No
19.4,Month-to-month,Bank transfer (automatic),No,No
105.95,Month-to-month,Mailed check,No,Yes
45.0,Month-to-month,Mailed check,No,No
102.45,One year,Credit card (automatic),Yes,Yes
19.75,Two year,Bank transfer (automatic),No,No
58.5,Month-to-month,Mailed check,No,No phone service
99.15,Month-to-month,Electronic check,No,Yes
103.95,Month-to-month,Electronic check,Yes,Yes
29.7,Month-to-month,Credit card (automatic),Yes,No phone service
70.55,Month-to-month,Bank transfer (automatic),Yes,No
45.55,Month-to-month,Credit card (automatic),No,No phone service
74.25,Month-to-month,Credit card (automatic),No,No
50.55,Month-to-month,Mailed check,No,Yes
74.65,Month-to-month,Electronic check,Yes,Yes
103.3,Month-to-month,Electronic check,Yes,Yes
83.6,Month-to-month,Electronic check,Yes,No
95.9,Month-to-month,Electronic check,No,No
102.95,Month-to-month,Credit card (automatic),No,Yes
49.55,Month-to-month,Electronic check,Yes,No
74.05,Month-to-month,Bank transfer (automatic),Yes,No
93.9,Two year,Bank transfer (automatic),Yes,Yes
74.7,Month-to-month,Electronic check,No,Yes
92.5,Month-to-month,Electronic check,Yes,Yes
56.7,Month-to-month,Mailed check,Yes,Yes
70.1,Month-to-month,Electronic check,No,No
84.65,Month-to-month,Mailed check,No,Yes
56.5,Month-to-month,Mailed check,Yes,No
78.95,Month-to-month,Electronic check,No,Yes
83.8,Month-to-month,Mailed check,No,No
55.05,Month-to-month,Credit card (automatic),No,No
103.75,One year,Electronic check,Yes,Yes
51.25,Month-to-month,Mailed check,No,No
100.55,Month-to-month,Electronic check,No,Yes
98.9,Month-to-month,Electronic check,Yes,No
98.3,Two year,Bank transfer (automatic),Yes,Yes
44.9,Month-to-month,Bank transfer (automatic),No,No
84.05,Month-to-month,Bank transfer (automatic),No,Yes
79.55,Month-to-month,Electronic check,No,No
46.3,Month-to-month,Mailed check,No,No
108.4,Two year,Bank transfer (automatic),Yes,Yes
35.75,Month-to-month,Electronic check,No,No phone service
89.85,Month-to-month,Electronic check,No,Yes
33.55,One year,Mailed check,Yes,No phone service
61.45,Month-to-month,Credit card (automatic),Yes,No
95.45,Month-to-month,Electronic check,No,Yes
80.55,Month-to-month,Electronic check,Yes,No
50.4,Month-to-month,Mailed check,No,Yes
107.55,One year,Electronic check,Yes,Yes
90.1,One year,Bank transfer (automatic),Yes,No
103.0,Month-to-month,Electronic check,Yes,Yes
78.3,Month-to-month,Electronic check,Yes,No
95.65,Month-to-month,Bank transfer (automatic),No,Yes
95.0,Month-to-month,Electronic check,No,Yes
96.8,Month-to-month,Electronic check,No,Yes
88.95,Month-to-month,Electronic check,No,Yes
94.2,Month-to-month,Electronic check,Yes,No
55.1,Month-to-month,Mailed check,No,No
43.75,One year,Bank transfer (automatic),No,No phone service
70.1,One year,Bank transfer (automatic),Yes,No
75.2,Month-to-month,Electronic check,Yes,Yes
106.75,Month-to-month,Bank transfer (automatic),No,Yes
84.45,Month-to-month,Electronic check,No,Yes
48.75,Month-to-month,Bank transfer (automatic),Yes,No phone service
89.5,Month-to-month,Electronic check,No,Yes
48.8,Month-to-month,Credit card (automatic),No,No
55.65,Month-to-month,Bank transfer (automatic),No,Yes
59.5,Month-to-month,Mailed check,No,No
85.45,Month-to-month,Electronic check,Yes,Yes
70.4,Month-to-month,Electronic check,No,No
83.9,Month-to-month,Mailed check,Yes,No
98.1,Month-to-month,Electronic check,Yes,Yes
89.5,Month-to-month,Electronic check,Yes,No
69.95,Month-to-month,Electronic check,No,No
29.6,Month-to-month,Electronic check,No,No phone service
25.05,Month-to-month,Mailed check,No,No phone service
36.45,Month-to-month,Mailed check,Yes,No phone service
80.85,Month-to-month,Electronic check,Yes,No
95.2,Month-to-month,Electronic check,No,Yes
70.1,Month-to-month,Mailed check,No,No
80.5,Month-to-month,Electronic check,No,No
76.45,Month-to-month,Electronic check,No,Yes
93.9,Month-to-month,Mailed check,No,Yes
69.65,Month-to-month,Electronic check,No,No
48.55,Month-to-month,Credit card (automatic),No,No
89.35,Month-to-month,Electronic check,No,No
19.6,Month-to-month,Mailed check,No,No
103.4,Two year,Electronic check,Yes,Yes
19.3,One year,Credit card (automatic),No,No
84.35,One year,Electronic check,Yes,Yes
50.15,Month-to-month,Electronic check,No,No
113.2,Month-to-month,Electronic check,No,Yes
84.55,Month-to-month,Electronic check,Yes,Yes
49.2,Month-to-month,Electronic check,No,No
86.3,Month-to-month,Electronic check,No,No
19.85,Month-to-month,Credit card (automatic),No,No
93.8,One year,Electronic check,Yes,No
94.7,Month-to-month,Credit card (automatic),Yes,No
50.4,Month-to-month,Bank transfer (automatic),Yes,No
79.85,Month-to-month,Electronic check,No,Yes
84.4,Month-to-month,Credit card (automatic),No,Yes
20.65,Month-to-month,Mailed check,No,No
94.7,Month-to-month,Electronic check,No,No
34.7,Month-to-month,Credit card (automatic),No,No phone service
69.95,Month-to-month,Electronic check,Yes,No
88.8,Month-to-month,Electronic check,No,Yes
89.3,Month-to-month,Electronic check,No,No
24.75,Month-to-month,Electronic check,No,No phone service
49.25,Month-to-month,Electronic check,No,No
33.5,Month-to-month,Credit card (automatic),No,No phone service
99.15,Month-to-month,Mailed check,Yes,No
85.35,Month-to-month,Bank transfer (automatic),Yes,Yes
80.05,Month-to-month,Mailed check,Yes,No
75.75,Month-to-month,Electronic check,No,Yes
95.05,Month-to-month,Electronic check,No,Yes
35.4,Month-to-month,Bank transfer (automatic),Yes,No phone service
98.05,Month-to-month,Bank transfer (automatic),No,Yes
84.5,Month-to-month,Electronic check,Yes,Yes
90.2,Month-to-month,Credit card (automatic),Yes,Yes
80.85,Month-to-month,Electronic check,No,No
99.95,Month-to-month,Electronic check,No,Yes
74.4,Month-to-month,Electronic check,Yes,Yes
94.45,Month-to-month,Electronic check,No,Yes
79.9,Month-to-month,Bank transfer (automatic),Yes,Yes
84.45,Month-to-month,Electronic check,Yes,Yes
90.35,Month-to-month,Electronic check,No,No
53.85,Month-to-month,Mailed check,No,No
20.9,Month-to-month,Mailed check,No,No
96.2,Month-to-month,Electronic check,No,No
40.1,Month-to-month,Credit card (automatic),No,No phone service
69.95,Month-to-month,Bank transfer (automatic),Yes,No
45.15,Month-to-month,Electronic check,No,No
75.5,Month-to-month,Electronic check,No,Yes
45.05,Month-to-month,Mailed check,No,No
99.45,Month-to-month,Credit card (automatic),Yes,Yes
118.35,One year,Bank transfer (automatic),No,Yes
89.9,Month-to-month,Electronic check,No,No
19.85,Month-to-month,Mailed check,No,No
101.35,Month-to-month,Electronic check,Yes,Yes
90.55,Month-to-month,Electronic check,No,No
30.5,Month-to-month,Bank transfer (automatic),Yes,No phone service
80.5,Month-to-month,Credit card (automatic),No,No
106.0,Two year,Bank transfer (automatic),Yes,Yes
99.45,Month-to-month,Electronic check,No,Yes
24.5,Two year,Mailed check,Yes,Yes
94.2,Month-to-month,Bank transfer (automatic),No,Yes
49.95,Month-to-month,Bank transfer (automatic),No,Yes
108.05,Two year,Electronic check,No,Yes
88.35,Month-to-month,Mailed check,No,No
76.5,Month-to-month,Electronic check,Yes,Yes
55.55,Month-to-month,Credit card (automatic),Yes,No phone service
20.05,Month-to-month,Mailed check,No,No
54.2,Two year,Electronic check,Yes,No phone service
44.6,Month-to-month,Bank transfer (automatic),Yes,No
73.9,One year,Mailed check,Yes,No
80.7,Month-to-month,Bank transfer (automatic),No,Yes
104.8,Month-to-month,Electronic check,Yes,Yes
75.6,Month-to-month,Bank transfer (automatic),No,Yes
69.5,One year,Bank transfer (automatic),Yes,No
79.95,Month-to-month,Electronic check,Yes,No
44.85,One year,Credit card (automatic),No,No phone service
70.05,Month-to-month,Credit card (automatic),No,No
85.8,Month-to-month,Credit card (automatic),No,Yes
40.15,Month-to-month,Mailed check,No,No phone service
100.55,Month-to-month,Electronic check,No,No
100.05,One year,Credit card (automatic),No,Yes
93.3,Month-to-month,Electronic check,No,Yes
71.3,Month-to-month,Credit card (automatic),No,No
53.95,One year,Mailed check,No,No phone service
103.85,Month-to-month,Bank transfer (automatic),Yes,Yes
94.45,Month-to-month,Credit card (automatic),No,No
115.55,One year,Credit card (automatic),No,Yes
99.05,Month-to-month,Bank transfer (automatic),Yes,Yes
93.9,Month-to-month,Electronic check,Yes,Yes
69.7,Month-to-month,Bank transfer (automatic),No,No
45.4,Month-to-month,Electronic check,No,No phone service
41.15,Month-to-month,Electronic check,No,No phone service
79.05,Month-to-month,Electronic check,No,No
74.5,Month-to-month,Electronic check,Yes,No
79.05,Month-to-month,Electronic check,No,Yes
75.35,Month-to-month,Credit card (automatic),No,Yes
81.05,Month-to-month,Electronic check,Yes,No
75.15,Month-to-month,Credit card (automatic),Yes,Yes
104.05,Month-to-month,Mailed check,No,Yes
40.2,Month-to-month,Bank transfer (automatic),Yes,No phone service
54.75,Month-to-month,Electronic check,Yes,Yes
28.45,Month-to-month,Electronic check,No,No phone service
90.8,Month-to-month,Electronic check,No,Yes
101.0,Month-to-month,Electronic check,Yes,Yes
94.95,Month-to-month,Electronic check,No,No
79.6,Month-to-month,Electronic check,No,No
20.2,Month-to-month,Mailed check,No,No
70.75,Month-to-month,Electronic check,Yes,No
49.25,Month-to-month,Electronic check,No,No phone service
86.05,Month-to-month,Bank transfer (automatic),No,Yes
100.2,Month-to-month,Electronic check,Yes,Yes
20.6,Month-to-month,Mailed check,No,No
20.15,Month-to-month,Mailed check,No,No
99.8,Month-to-month,Electronic check,Yes,Yes
68.25,Month-to-month,Electronic check,No,No
48.35,Month-to-month,Electronic check,Yes,No phone service
99.25,Month-to-month,Bank transfer (automatic),No,Yes
50.5,Month-to-month,Electronic check,No,No
80.5,Month-to-month,Electronic check,No,Yes
106.95,One year,Credit card (automatic),No,Yes
106.1,One year,Bank transfer (automatic),Yes,No
54.15,One year,Credit card (automatic),Yes,No
94.75,Month-to-month,Electronic check,No,Yes
104.7,One year,Bank transfer (automatic),No,Yes
110.75,Month-to-month,Bank transfer (automatic),Yes,Yes
109.55,Month-to-month,Electronic check,Yes,Yes
109.9,Month-to-month,Credit card (automatic),No,Yes
74.95,Month-to-month,Bank transfer (automatic),Yes,Yes
98.6,Month-to-month,Credit card (automatic),No,Yes
80.8,Month-to-month,Electronic check,No,No
69.75,Month-to-month,Bank transfer (automatic),No,No
101.1,Month-to-month,Electronic check,Yes,Yes
91.75,Month-to-month,Bank transfer (automatic),Yes,Yes
20.2,Month-to-month,Mailed check,No,No
68.85,Month-to-month,Bank transfer (automatic),No,No
89.65,Month-to-month,Mailed check,Yes,Yes
44.45,Month-to-month,Mailed check,No,No
19.55,Month-to-month,Mailed check,Yes,No
86.45,Month-to-month,Electronic check,No,Yes
73.9,Month-to-month,Electronic check,No,No
90.55,Month-to-month,Electronic check,No,No
84.6,Month-to-month,Credit card (automatic),No,No
108.15,Month-to-month,Credit card (automatic),No,No
79.15,Month-to-month,Electronic check,No,Yes
90.6,Month-to-month,Electronic check,No,Yes
96.55,One year,Credit card (automatic),Yes,Yes
96.55,Month-to-month,Electronic check,No,Yes
100.15,Month-to-month,Bank transfer (automatic),No,Yes
74.6,Month-to-month,Mailed check,No,No
44.75,Month-to-month,Electronic check,No,No
48.55,Month-to-month,Mailed check,No,No
100.05,Month-to-month,Credit card (automatic),Yes,Yes
75.05,Month-to-month,Credit card (automatic),No,Yes
80.3,Month-to-month,Credit card (automatic),Yes,No
76.4,Month-to-month,Mailed check,Yes,No
99.75,Month-to-month,Electronic check,No,Yes
79.15,Month-to-month,Electronic check,No,No
83.85,Month-to-month,Credit card (automatic),No,Yes
97.9,Month-to-month,Electronic check,No,No
91.85,Month-to-month,Electronic check,Yes,No
105.95,Month-to-month,Credit card (automatic),Yes,Yes
74.35,Month-to-month,Electronic check,Yes,Yes
88.35,Month-to-month,Electronic check,Yes,No
55.15,Month-to-month,Electronic check,Yes,No
74.15,Month-to-month,Mailed check,No,Yes
104.75,Month-to-month,Bank transfer (automatic),No,Yes
30.6,Month-to-month,Electronic check,No,No phone service
23.15,Month-to-month,Credit card (automatic),No,Yes
106.6,Two year,Electronic check,No,Yes
74.25,Month-to-month,Electronic check,No,Yes
89.95,Month-to-month,Electronic check,No,Yes
50.75,Month-to-month,Electronic check,No,No phone service
55.35,Month-to-month,Electronic check,No,No
99.5,One year,Bank transfer (automatic),Yes,Yes
20.25,Month-to-month,Bank transfer (automatic),No,No
78.8,Month-to-month,Electronic check,Yes,No
98.5,Month-to-month,Electronic check,Yes,Yes
20.15,One year,Bank transfer (automatic),No,No
80.55,Two year,Bank transfer (automatic),Yes,Yes
79.9,Month-to-month,Electronic check,No,No
55.15,One year,Credit card (automatic),No,No
89.7,Month-to-month,Electronic check,No,Yes
95.25,Month-to-month,Electronic check,Yes,Yes
80.45,Month-to-month,Electronic check,No,Yes
70.9,Month-to-month,Mailed check,No,No
88.95,Month-to-month,Electronic check,No,Yes
69.15,Month-to-month,Electronic check,Yes,No
30.45,Month-to-month,Electronic check,No,No phone service
95.7,Month-to-month,Electronic check,No,Yes
39.3,Month-to-month,Electronic check,Yes,No phone service
76.35,Month-to-month,Electronic check,No,No
46.0,Month-to-month,Mailed check,No,No
75.2,Month-to-month,Credit card (automatic),No,Yes
49.05,Month-to-month,Credit card (automatic),No,No
89.65,Month-to-month,Credit card (automatic),Yes,No
94.9,Month-to-month,Electronic check,No,No
89.5,Month-to-month,Electronic check,No,No
84.1,Month-to-month,Electronic check,Yes,No
20.25,Month-to-month,Mailed check,No,No
24.75,Month-to-month,Electronic check,No,No phone service
20.1,Month-to-month,Credit card (automatic),No,No
78.55,Month-to-month,Electronic check,No,Yes
105.5,One year,Credit card (automatic),Yes,No
19.5,Month-to-month,Mailed check,No,No
100.8,Month-to-month,Electronic check,Yes,Yes
61.65,Month-to-month,Mailed check,No,Yes
45.7,Month-to-month,Mailed check,No,No
94.0,Month-to-month,Electronic check,No,Yes
99.15,Month-to-month,Electronic check,Yes,Yes
66.4,Month-to-month,Bank transfer (automatic),No,No
69.6,Month-to-month,Electronic check,No,No
50.15,Month-to-month,Credit card (automatic),Yes,No
84.0,Month-to-month,Electronic check,Yes,Yes
75.35,Month-to-month,Electronic check,No,Yes
74.9,Month-to-month,Electronic check,No,Yes
104.4,Month-to-month,Electronic check,Yes,Yes
94.55,Month-to-month,Credit card (automatic),Yes,Yes
85.65,Month-to-month,Electronic check,No,Yes
19.65,Month-to-month,Electronic check,No,No
83.3,Month-to-month,Electronic check,Yes,No
34.25,Month-to-month,Mailed check,No,No phone service
45.95,Month-to-month,Mailed check,No,No
97.35,Month-to-month,Bank transfer (automatic),Yes,Yes
79.3,Month-to-month,Electronic check,No,No
108.65,Two year,Bank transfer (automatic),Yes,Yes
78.95,Month-to-month,Electronic check,No,No
74.9,Month-to-month,Bank transfer (automatic),Yes,Yes
65.3,Two year,Credit card (automatic),Yes,Yes
44.55,Month-to-month,Electronic check,No,No
30.75,Month-to-month,Credit card (automatic),Yes,No phone service
87.05,Month-to-month,Electronic check,No,Yes
79.5,Month-to-month,Bank transfer (automatic),Yes,No
68.5,Month-to-month,Electronic check,Yes,No
76.45,Month-to-month,Bank transfer (automatic),No,No
103.45,One year,Electronic check,No,Yes
95.25,Month-to-month,Bank transfer (automatic),Yes,Yes
71.15,Month-to-month,Electronic check,No,No
51.55,Month-to-month,Electronic check,No,Yes
84.85,Month-to-month,Mailed check,No,No
35.15,Month-to-month,Electronic check,Yes,No phone service
73.55,Month-to-month,Bank transfer (automatic),Yes,No
49.4,Month-to-month,Electronic check,No,No
94.0,Month-to-month,Electronic check,Yes,Yes
74.55,Month-to-month,Electronic check,No,No
54.85,Month-to-month,Mailed check,No,No
33.65,Month-to-month,Electronic check,No,No phone service
100.1,Month-to-month,Electronic check,No,Yes
89.3,Month-to-month,Electronic check,No,No
85.4,Month-to-month,Electronic check,Yes,Yes
74.95,Month-to-month,Electronic check,Yes,Yes
75.35,Month-to-month,Electronic check,No,No
86.6,Month-to-month,Electronic check,No,Yes
50.8,Month-to-month,Electronic check,No,No phone service
69.4,Month-to-month,Mailed check,No,No
85.7,Month-to-month,Electronic check,No,Yes
55.0,Month-to-month,Credit card (automatic),No,No
93.5,Month-to-month,Electronic check,No,Yes
44.15,Month-to-month,Electronic check,No,No
84.4,Month-to-month,Electronic check,No,No
